,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
PAK2,-0.39,-0.54,-0.35,-0.2,0.03,-0.47,-0.32,-0.52,-0.27,-0.38,-0.07,0.1,-0.35,-0.41,-0.12,-0.4,-0.46,-0.46,0.01
PAK4,0.17,0.23,0.03,0.27,-0.09,0.26,0.12,0.25,0.06,0.01,0.22,0.02,0.18,-0.17,0.21,0.11,0.04,0.14,0.06
PALD1,-0.25,-0.63,-0.06,-0.36,-0.37,-0.21,-0.22,-0.48,-0.49,-0.31,-0.2,0.29,-0.23,-0.49,-0.67,-0.64,-0.85,-0.2,-0.07
PALLD,-0.26,-0.64,0.02,0.23,0.25,-0.22,0.06,-0.23,-0.07,-0.01,0.67,0.53,-0.24,0.21,0.55,-0.31,-0.22,0.07,0.75
PALM,0.88,1.33,0.92,0.59,0.25,1.14,1.28,1.43,0.66,0.83,0.64,0.36,1.27,1.21,1.04,1,0.32,0.6,0.79
PALM2AKAP2,0.08,0.05,0.04,0.01,-0.08,0.04,0.06,-0.1,-0.12,-0.05,0.19,0.12,0.17,-0.2,0,0.11,-0.18,0.11,0.19
PALM3,1.05,1.23,0.89,0.63,0.28,1.23,0.85,1.04,0.83,0.79,0.3,-0.29,0.89,0.52,1.26,0.94,1.24,1.17,-0.15
PALMD,-0.51,-0.33,-0.22,-0.08,0.15,-0.01,0.21,-0.2,0.08,-0.15,-0.03,0.02,-0.31,-0.28,0.12,-0.4,0.05,-0.18,0.32
PALS1,0.85,0.75,0.36,0.45,0.06,0.5,0.41,0.83,0.48,0.61,0.18,0.02,0.7,0.13,0.26,0.72,0.63,0.55,-0.22
PALS2,0.29,0.27,-0.12,-0.09,-0.91,0.16,0.24,0.23,0.04,0,0.05,-0.14,-0.02,0.09,0.25,-0.14,-0.1,0.24,-0.8
PAM,-0.28,0.29,-0.47,-0.41,0.2,NA,NA,-0.35,0.11,-0.25,-0.13,0.9,-0.14,0.47,-0.33,-0.65,-0.36,NA,-0.08
PAN2,-0.26,-0.1,0.12,-0.13,-0.28,-0.03,-0.17,-0.07,-0.01,-0.29,-0.29,-1.33,-0.03,-0.1,-1.64,-0.2,-0.22,-0.04,-0.2
PANK1,0.48,0.59,0.26,0.27,0.3,0.6,0.56,0.42,0.84,0.23,0.2,0.21,0.48,0.43,-0.15,0.48,0.53,0.51,-0.4
PANK2,-0.47,-0.49,-0.13,-0.19,0,0.08,0.27,-0.31,-0.21,0.09,-0.1,-0.03,-0.24,-0.16,0.66,-0.04,-0.27,0,0.03
PANK4,0.05,0.03,0.16,-0.17,-0.09,0.1,0.19,-0.06,-0.05,0.11,0.23,0.33,0.04,0.15,0.31,0.14,-0.09,0.1,0.16
PAPLN,0.71,0.64,0.82,0.67,0.73,0.83,0.21,0.43,0.36,0.76,0.74,1.96,0.12,0.75,0.35,0.82,0.75,0.79,1.36
PAPOLA,-0.21,-0.02,-0.09,0.03,0.05,-0.12,-0.12,-0.21,-0.25,0.12,-0.13,0.17,-0.3,-0.24,-0.07,-0.14,-0.14,-0.14,0.34
PAPPA2,-0.29,-0.97,0.98,1.24,NA,NA,NA,-1.09,2.02,1.28,2.89,2.76,-0.63,3.55,-0.31,-0.97,NA,NA,1.64
PAPSS1,-0.12,-0.05,-0.24,-0.03,0.29,-0.1,0.13,0,-0.14,-0.06,0.17,0.09,0,-0.07,0.22,0.17,-0.05,0.07,0.05
PAPSS2,-0.02,0.14,-0.16,-0.15,-0.09,0.28,-0.18,-0.2,-0.37,0,0.34,0.24,0.06,0.25,0.13,-0.25,0.1,0.55,-0.21
PARD3,0.19,0.29,-0.03,0.03,0.13,0.14,0.12,0.2,0.07,0.07,0.11,0.16,0.04,0.16,-0.01,0.14,0.05,0.14,0.1
PARD3B,0.64,1.12,0.21,0.05,0.11,0.51,0.45,0.53,0.21,0.3,0.03,0.81,0.34,0.75,0.55,0.31,1.07,0.28,0.55
PARD6B,0,0.03,-0.12,-0.1,-0.01,-0.03,0.45,0.13,-0.03,-0.25,0.06,-0.34,-0.03,0,0.42,0.13,-0.19,0.18,-0.36
PARK7,0.05,0.18,-0.07,-0.03,-0.1,0.24,0.1,0.29,0.05,-0.05,-0.09,0,0.1,-0.06,0.07,-0.06,0.11,0.04,-0.28
PARL,0.46,0.88,0.61,0.1,-0.05,0.99,0.72,0.79,0.19,0.8,-0.11,-0.27,0.31,0.82,0.19,0.29,0.52,1.35,0.49
PARN,-0.13,-0.09,-0.15,-0.24,-0.09,-0.18,-0.16,-0.26,-0.13,-0.2,-0.06,0.03,-0.1,-0.1,-0.25,-0.07,-0.27,-0.22,0.06
PARP1,-0.31,-0.41,-0.27,-0.04,0.08,-0.23,-0.18,-0.46,-0.22,-0.27,-0.03,0.34,-0.37,-0.21,0.03,-0.14,-0.27,-0.31,0.45
PARP10,-0.15,-0.14,-0.16,-0.23,-0.07,-0.04,-0.04,-0.04,-0.15,-0.36,-0.24,-0.13,-0.2,-0.13,-0.27,-0.17,0.07,0.03,-0.07
PARP12,-0.09,-0.15,-0.24,-0.11,0.09,-0.38,0.09,-0.16,-0.02,-0.05,-0.08,0.21,-0.29,-0.12,0.05,-0.36,-0.15,-0.41,0.25
PARP14,-0.76,-0.53,-0.77,-0.35,-0.06,-0.65,-0.74,-0.88,-0.51,-0.48,-0.38,-0.04,-0.66,-0.49,-0.4,-0.75,-0.72,-0.61,0.47
PARP4,-0.24,-0.78,-0.48,-0.14,-0.17,-0.66,-0.6,-0.63,-0.19,-0.43,-0.59,-0.25,-0.4,-0.37,-0.78,-0.33,-0.38,-0.24,-0.32
PARP9,-0.83,-0.9,-0.58,-0.48,0.37,-0.56,-0.68,-0.95,-0.5,-0.45,-0.33,0.08,-0.72,-0.53,-0.33,-0.81,-0.51,-0.57,0.52
PARS2,0.67,0.39,0.16,0.07,-0.38,0.31,0.32,0.35,0.62,0.38,0.01,-0.73,0.27,0.26,0.4,0.36,0.43,0.47,-0.46
PARVA,0,-0.06,0.26,0.16,0.18,0.08,0.01,0.05,0,0.22,0.14,0.66,-0.03,0.17,0.16,0.06,0.12,0.13,0.44
PARVB,-0.82,0.19,0.39,0.24,-0.46,0.01,0.04,0.09,-0.61,0.12,-0.81,-0.11,-0.53,-0.5,-0.15,-0.49,-0.14,-0.17,0.09
PARVG,-0.73,-1.58,-0.8,-0.55,0.05,-0.63,-0.53,-1.28,-0.48,-0.7,-0.67,-0.03,-0.35,-0.86,-0.88,-1.03,-0.82,-0.49,0.91
PATJ,0.47,0.6,0.44,0.21,-0.15,0.55,0.46,0.54,0.34,0.29,0,-0.55,0.44,0.16,0.21,0.39,0.46,0.54,-0.4
PATL1,-0.21,-0.24,-0.13,-0.21,0.16,-0.04,-0.12,0.03,-0.18,0,-0.1,0.19,-0.07,-0.21,-0.08,-0.24,0.04,-0.26,-0.09
PATZ1,NA,0.32,NA,NA,NA,0.37,0.52,NA,NA,NA,NA,NA,NA,0.27,NA,NA,NA,0.44,0.17
PAWR,-0.06,0.05,-0.16,0.24,0.65,0,0.15,-0.08,-0.16,0.1,0.58,0.52,0.27,0.21,0.33,0.19,0.05,0.08,0.61
PAX8,0.12,0.16,0.28,-0.14,0.93,0.25,0.52,0.08,0.34,0.22,0.47,0.56,0.38,-0.02,0.8,0.18,0.51,0.35,0.17
PAXBP1,0.02,0.05,-0.18,-0.22,0.04,-0.13,-0.02,-0.29,0.03,0.21,-0.45,-0.09,-0.43,-0.09,-0.07,-0.12,-0.23,-0.04,0.17
PAXIP1,NA,-0.1,-0.35,-0.19,0.03,-0.13,-0.18,-0.16,NA,NA,-0.41,-1.01,-0.43,-0.26,-1.29,-0.17,0,-0.23,0.08
PAXX,-0.23,-0.25,-0.3,0.18,0.31,-0.18,-0.17,-0.25,-0.11,-0.15,0.01,0.36,-0.13,-0.04,0.03,0.08,-0.42,-0.13,0.31
PBDC1,-0.19,-0.18,-0.29,-0.05,-0.01,-0.15,-0.12,-0.26,-0.29,-0.32,0.13,0.1,-0.09,-0.25,0.01,-0.07,-0.35,-0.23,-0.13
PBLD,0.85,0.87,0.72,0.27,-0.64,1.11,0.7,1.14,0.49,0.55,0.18,-1.09,0.69,0.43,-0.16,0.88,1.36,0.88,-0.98
PBRM1,-0.16,0.03,0.28,0.06,0.41,0.03,0.11,-0.08,0.04,0.18,0.46,0.65,0.14,0.01,0.33,-0.04,0.08,0.13,0.55
PBX1,0.34,0.25,0.6,0.34,0.3,0.2,0.23,-0.06,0.44,0.66,0.83,1.06,0.21,0.49,0.36,0.06,-0.19,0.07,0.89
PBXIP1,0.02,-0.3,-0.39,-0.27,-0.05,-0.22,-0.23,-0.13,-0.21,-0.16,-0.25,-0.05,-0.05,-0.13,-0.04,-0.07,-0.03,-0.06,0.18
PC,1.27,1.13,1.07,0.38,-0.42,1.22,0.78,1.29,0.83,0.73,0.15,-2.12,0.77,0.86,-0.24,0.42,1.04,1.27,-1.68
PCBD1,-0.39,1.24,0.31,0.03,0.25,0.62,-0.12,0.87,1.66,2.32,-0.04,-0.28,0.28,0.33,0.58,0.2,-0.22,-0.03,-0.79
PCBD2,-1.19,-0.08,-0.24,-0.36,-0.3,0.25,0.37,-0.04,0.53,0.23,0.03,-0.97,-0.12,-0.21,0.2,0.17,-0.34,0.14,-0.74
PCBP1,-0.09,-0.09,-0.04,-0.18,-0.23,-0.08,-0.18,-0.01,-0.12,-0.07,-0.18,-0.09,-0.19,-0.18,-0.14,-0.21,0.02,-0.16,-0.38
PCBP2,0.21,-0.02,0.09,-0.05,-0.13,0.01,-0.08,-0.23,-0.02,0.24,-0.05,0.12,-0.08,-0.09,-0.1,-0.07,-0.03,-0.14,0.08
PCCA,0.76,0.96,0.74,0.15,-0.15,0.77,0.49,0.8,0.86,0.63,0.18,-0.86,0.64,0.68,0.05,0.58,0.78,0.76,-0.75
PCCB,0.66,0.73,0.74,0.26,-0.14,0.8,0.55,0.82,0.8,0.4,0.29,-0.91,0.49,0.54,0.17,0.37,0.78,0.78,-0.66
PCDH1,0.36,0.38,0.45,0.01,0.08,0.58,0.12,0.28,0.43,0.15,-0.07,0.5,0.27,0.12,0.37,0.37,0.13,0.43,-0.04
PCDH11X,NA,-0.07,0.04,-0.22,-0.23,0.23,-0.19,0.11,NA,NA,0.34,-0.2,-0.2,-0.22,-0.03,-0.24,-0.29,-0.51,-0.11
PCDHGC3,0.41,0.19,0.31,0.27,-0.27,NA,NA,-0.08,0.64,0.72,0.61,-0.13,1.05,0.44,-0.25,0.36,-0.62,NA,0.45
PCF11,0.3,0.02,-0.03,-0.09,0.31,-0.18,-0.13,-0.1,0.31,0.03,-0.06,0.22,-0.19,-0.14,0.03,0.05,-0.04,-0.11,-0.01
PCGF5,-0.07,-0.13,-0.04,0.08,0.45,-0.24,-0.32,-0.05,-0.01,-0.02,0.24,0.54,0.04,-0.46,0.26,0.07,-0.1,-0.29,0.09
PCID2,-0.25,0.1,-0.2,-0.07,0.18,-0.28,-0.17,-0.48,-0.22,0.26,0.29,0.25,-0.2,0.11,0.03,-0.17,-0.2,-0.32,0.43
PCIF1,-0.02,-0.13,-0.15,-0.06,-0.04,-0.11,-0.1,-0.2,0.01,-0.05,0.2,0.47,-0.04,-0.08,0.23,-0.16,-0.3,-0.28,0.49
PCK1,0.88,1.08,1.1,0.71,-1.15,0.52,0.54,0.57,0.84,0.61,0.25,-1.74,1.04,0.78,-0.93,0.53,1.44,1.66,-1.95
PCK2,1.11,1.3,1.27,0.65,-1.08,1.53,0.67,1.29,0.69,0.78,0.02,-2.09,1,0.83,-0.94,0.63,1.22,1.28,-1.67
PCM1,0.06,-0.04,-0.02,0.13,-0.16,0.12,0.2,0.13,0.14,0.13,0.11,0.12,-0.07,-0.04,0.24,0.09,-0.01,0.08,0.11
PCMT1,0.06,-0.11,-0.02,-0.12,-0.13,0.09,0.07,-0.03,-0.13,-0.12,0.18,0,-0.08,-0.17,0.1,-0.09,-0.22,-0.18,-0.02
PCMTD1,0.81,-0.4,0.45,0.36,0.08,0.01,0.31,0.32,0.77,0.32,0.52,0.06,0.77,0.23,0.14,0.44,0.46,-0.07,-0.23
PCMTD2,NA,-0.05,-0.2,-0.14,-0.2,NA,NA,-0.15,NA,NA,-0.3,NA,-0.32,0.51,NA,-0.21,0.02,NA,-0.2
PCNA,-0.26,-0.25,-0.14,-0.16,0.03,-0.16,-0.07,-0.34,-0.27,-0.27,-0.19,0,-0.15,-0.38,-0.23,-0.07,-0.28,-0.17,0.07
PCNP,-0.21,0.42,-0.01,0.34,0.26,0.22,0.05,0.05,-0.11,-0.07,0.24,0.86,-0.13,0.53,0.54,0.26,0.22,0.08,1.06
PCNT,-0.11,-0.01,0.1,-0.14,0.04,-0.05,0,0.1,-0.06,0.02,0.02,0.27,-0.07,0.03,0.05,-0.15,0,0.06,0.32
PCOLCE,-0.41,0.17,0.31,-0.32,0.08,-0.41,-0.02,-0.17,-0.01,-0.45,0.57,-0.07,-0.05,0.46,-0.6,-0.59,-0.19,-0.47,0.68
PCP4,0.02,-2.32,-0.37,0.95,0.53,-1.79,-1.43,0.12,0.08,-0.29,0.07,0.46,0.12,-0.93,1.14,1.29,-1.28,-1.03,0.24
PCSK9,NA,0.14,0.89,0.13,-0.14,0.75,0.59,-0.33,NA,NA,0.6,1.31,0.48,0.87,1.64,0.32,0.36,0.81,0.52
PCTP,0.31,0.41,0.51,-0.08,-0.55,0.26,-0.01,0.4,0.35,0.05,0.21,-0.36,0.6,0.12,-0.49,0.39,0.3,0.23,-0.76
PCYOX1,0.54,0.34,0.44,0.65,-0.19,0.46,0.37,0.56,0,0.7,0.01,0.05,0.41,-0.07,0.08,0.35,0.54,0.57,-0.29
PCYOX1L,-1.22,-0.43,-0.47,NA,-0.55,0.07,0.01,NA,-1.02,-0.51,-0.71,0.12,-0.19,-0.37,-0.26,NA,-0.82,0.09,0.22
PCYT1A,-0.19,-0.16,-0.28,-0.15,-0.09,-0.13,-0.12,-0.25,-0.16,-0.23,0.02,-0.04,-0.09,-0.17,-0.02,-0.16,-0.27,-0.32,-0.11
PCYT2,0.81,0.8,0.62,0.12,-0.58,0.86,0.84,0.84,0.53,0.48,0.21,-0.68,0.64,0.47,0.19,0.5,0.5,0.73,-0.87
PDAP1,-0.08,-0.02,-0.19,0.07,0.48,0.31,0.23,-0.03,-0.05,-0.08,0.12,0.19,-0.18,-0.12,0.07,0.03,0.29,0.06,-0.09
PDCD10,0.22,0.1,0.16,-0.12,0.24,0.09,0.28,-0.03,0.21,0.3,0.22,-0.04,0.03,0.16,0.16,0.08,0.12,0.15,0.26
PDCD11,-0.36,-0.18,-0.21,-0.08,0.13,-0.24,-0.32,-0.13,-0.33,-0.31,-0.28,0.02,-0.33,-0.13,-0.2,-0.22,-0.06,-0.38,0.04
PDCD4,-0.31,-0.32,-0.31,0.15,0.5,-0.16,-0.04,-0.41,-0.3,-0.02,0.23,0.59,-0.36,0.06,0.06,-0.21,-0.11,-0.31,0.64
PDCD5,-0.67,-0.49,-0.74,-0.43,-0.47,-0.59,-0.55,-0.64,-0.5,-0.73,-0.28,-0.35,-0.31,-0.59,-0.39,-0.38,-0.81,-0.48,-0.47
PDCD6,-0.38,-0.41,-0.19,-0.29,-0.21,-0.22,-0.24,-0.27,-0.45,-0.33,-0.16,-0.1,-0.28,-0.2,-0.18,-0.33,-0.47,-0.4,-0.02
PDCD6IP,0.2,0.14,0.18,0.14,-0.03,0.21,0.16,0.21,0.19,0.17,0.26,0.08,0.12,0.12,0.07,0.34,0.13,0.3,-0.07
PDCD7,-0.3,-0.64,-0.36,0.4,NA,0.41,-0.25,0.44,0.21,0.21,0.52,-0.05,-1.66,-0.55,0.01,0.15,NA,0.28,-0.09
PDCL,-0.41,-0.3,-0.31,-0.34,-0.09,-0.03,-0.12,-0.48,-0.33,-0.29,-0.05,-0.12,-0.3,-0.28,-0.07,-0.45,-0.61,-0.32,0.3
PDCL3,-0.19,-0.06,-0.22,-0.46,-0.29,-0.27,-0.27,-0.32,-0.31,-0.48,-0.12,-0.56,-0.19,-0.23,-0.24,-0.31,-0.25,-0.29,-0.1
PDE12,0.15,0.22,0.17,0.1,-0.01,0.1,0.15,0.26,0.25,0.04,0.15,-0.16,0.32,0.1,0.19,0.26,0.06,0.22,-0.17
PDE1A,-0.09,-0.17,-0.34,-0.16,0.48,-0.17,0.28,0.01,-0.04,0.12,0.41,-0.01,-0.3,0.22,0.76,0.1,-0.32,-0.19,0.15
PDE1B,-0.9,-0.31,NA,NA,-0.35,NA,NA,NA,-0.92,-0.79,NA,NA,NA,-0.09,NA,NA,-0.43,NA,-0.3
PDE1C,-0.34,0.37,0.17,-0.07,-0.23,0.16,0.16,-0.1,-1.28,-0.59,0.18,-0.14,0.16,0.13,-0.03,-0.12,-0.12,0.07,-0.01
PDE2A,-0.08,0.11,0.06,-0.28,-0.27,-0.12,0.32,0.14,0.33,0.15,-0.02,0.11,0.19,0.48,0.39,-0.25,-0.51,0.34,0.23
PDE3A,0.19,-0.23,NA,0.05,0.42,-0.2,-0.17,-0.18,0.31,0.11,NA,0.96,NA,0.22,-0.36,-0.09,0.1,-0.27,0.56
PDE4A,NA,NA,-0.28,-0.97,NA,NA,NA,-0.98,NA,NA,-0.6,-0.6,-0.55,NA,0.47,-1.54,NA,NA,NA
PDE4D,-0.02,-0.29,-0.09,0.04,-0.12,-0.84,-0.64,0.12,-0.07,-0.12,0.16,0.02,-0.02,-0.23,0.1,0.03,-0.12,-0.02,-0.03
PDE4DIP,0.18,0.17,0.06,-0.11,-0.2,0.28,0.33,0.26,0.23,0,0.23,-0.15,0.25,0.11,0.61,0.2,0,0.27,-0.26
PDE5A,-0.14,-0.33,-0.09,0.16,0.18,0.19,-0.09,0.51,0.08,-0.02,0.06,0.76,0.38,0.26,-0.11,-0.05,0.22,0.2,0.49
PDE6D,-0.18,-0.19,-0.62,-0.78,-0.15,-0.08,-0.05,-0.5,-0.14,-0.34,-0.22,-0.19,-0.45,-0.07,-0.08,-0.58,-0.24,-0.27,0.37
PDE8A,0.91,0.35,0.4,0.51,-0.35,0.08,0.01,1,0.85,0.66,0.47,-0.02,0.62,-0.13,-0.19,0.98,-0.69,0.14,-0.27
PDF,0.73,0.75,0.36,0.08,0.3,0.37,0.28,0.87,0.46,0.21,-0.03,-0.82,-0.19,0.29,-0.13,0.37,0.13,0.27,-0.79
PDGFRB,-0.06,0.4,0.31,NA,0.39,-0.14,-0.23,NA,-0.02,0.32,0.06,1.01,0.37,0.53,0.14,NA,0.57,-0.34,0.8
PDHA1,0.46,0.48,0.26,0.1,-0.06,0.34,0.41,0.5,0.67,0.25,0.22,-0.45,0.4,0.37,0.56,0.42,0.18,0.44,-0.32
PDHB,0.55,0.49,0.41,0.18,-0.05,0.29,0.43,0.59,0.62,0.28,0.29,-0.55,0.56,0.32,0.53,0.41,0.24,0.41,-0.52
PDHX,0.4,0.42,0.04,0.21,-0.18,0.16,0.35,0.64,0.78,0.29,0.2,-0.7,0.2,0.39,0.71,0.51,0.15,0.42,-0.61
PDIA3,-0.23,-0.47,-0.25,-0.07,-0.25,-0.22,-0.29,-0.34,-0.36,-0.38,-0.37,-0.16,-0.33,-0.44,-0.46,-0.22,-0.23,-0.24,-0.18
PDIA4,-0.11,-0.31,-0.13,-0.03,0.03,-0.22,-0.37,-0.47,-0.42,-0.43,-0.47,-0.21,-0.16,-0.34,-0.47,-0.2,-0.03,-0.26,-0.11
PDIA5,-0.6,-0.59,-0.71,-0.29,-0.45,-0.53,-0.7,-0.85,-0.78,-0.79,-0.67,-0.48,-0.5,-0.68,-0.96,-0.66,-0.58,-0.45,-0.4
PDIA6,0.02,-0.11,0.04,0.03,0.04,0.03,-0.12,-0.35,-0.05,-0.23,-0.21,-0.15,-0.07,-0.11,-0.25,-0.05,0.02,0.04,0
PDK1,-0.52,-0.43,-0.82,-0.98,-0.98,-0.84,-0.7,-0.8,-0.25,-1.08,-0.98,-0.59,-0.72,-0.61,-0.21,-1.23,-0.36,-0.86,-0.82
PDK2,0.7,0.79,0.79,0.21,-0.45,0.81,0.47,0.77,0.69,0.37,0.2,-0.76,0.87,0.22,-0.13,0.32,0.71,0.67,-0.99
PDK3,0.61,0.61,0.93,0.02,-0.49,0.67,0.36,0.49,0.47,0.13,0.47,-0.87,0.63,-0.11,-0.11,0.34,0.79,0.64,-0.73
PDK4,-0.64,-0.44,-0.46,-0.33,0.14,-0.79,-0.75,-0.55,-0.88,-0.75,-0.48,-0.74,-0.93,-0.64,-0.65,-0.11,0.27,-1.18,-0.16
PDLIM1,-0.83,-0.28,-0.47,-0.41,-0.21,-0.5,-0.62,-1.02,-0.5,-0.35,-0.15,0.45,-0.58,-0.31,-0.16,-0.71,-0.63,-0.45,0.05
PDLIM2,1,1.02,0.34,0.55,-0.53,0.79,0.89,1.16,0.3,0.7,0.13,0.78,0.99,0.58,-0.5,0.69,0.76,0.99,-0.01
PDLIM3,-1.08,-1.61,-0.77,-0.14,0.5,-0.63,-0.56,-0.74,-0.93,-0.51,0.64,0.12,-0.55,0.02,0.38,-0.54,-0.87,-0.7,0.64
PDLIM4,-0.57,-0.93,-0.32,0.17,0.48,-0.4,-0.29,-0.36,-0.17,-0.08,0.77,0.75,-0.28,0.08,0.45,-0.24,-0.47,-0.28,0.93
PDLIM5,-0.01,0.11,0.17,0.33,0.17,0,0.13,-0.01,0.03,0,0.44,0.79,0.06,0.14,0.14,0.03,-0.07,0.28,0.57
PDLIM7,-0.55,-0.57,-0.25,-0.11,0.37,-0.44,-0.21,-0.5,-0.47,-0.1,0.73,0.74,-0.25,0.19,0.09,-0.45,-0.32,-0.25,0.61
PDP1,0.25,0.28,0.38,-0.17,-0.03,0.19,0.26,0.24,0.48,0.14,-0.04,-0.25,0.28,0.12,0.04,0.05,0.2,0.35,-0.13
PDP2,0.68,NA,3.27,1.88,1.35,4.47,4.75,2.59,0.4,0.06,3.02,NA,4.46,NA,NA,2.09,3.08,4.58,NA
PDPK1,0.08,0.02,0.17,-0.21,-0.25,-0.05,-0.02,-0.12,0.07,-0.05,-0.05,-0.11,-0.01,-0.05,-0.07,-0.01,-0.07,-0.03,-0.21
PDPR,0.71,0.52,0.46,0.05,-0.05,0.37,0.39,0.51,0.49,0.38,0.1,-0.5,0.46,0.28,0.05,0.12,0.29,0.59,-0.21
PDRG1,1.08,-0.1,-0.15,0.88,0.15,0.7,0.97,0.93,1.11,0.62,-0.05,-0.06,-0.16,-0.19,-0.11,1.06,-0.11,0.73,-0.04
PDS5A,-0.15,0.02,-0.06,-0.16,0.17,-0.12,-0.11,-0.31,-0.19,-0.04,-0.14,0.41,-0.18,-0.04,0.04,-0.14,-0.15,-0.16,0.25
PDS5B,-0.05,-0.14,0.05,0.09,0.06,-0.22,-0.04,-0.11,-0.11,0.24,0.18,0.55,-0.06,0.07,0.3,-0.05,-0.02,-0.2,0.59
PDSS1,0.49,0.85,1.21,0.33,0.41,1.97,3.04,0.71,0.52,0.49,0.85,-0.73,1.72,0.63,-0.16,0.01,1.05,2.38,-0.22
PDSS2,0.62,0.84,0.74,0.82,-0.25,0.76,0.76,0.9,0.44,0.31,0.21,-1.13,0.8,0.61,0.04,0.49,0.7,0.81,-0.83
PDXDC1,-0.09,0.05,-0.01,-0.32,-0.28,0.01,-0.07,-0.05,0.02,-0.21,-0.25,-0.2,0.04,-0.17,-0.29,-0.03,0.01,-0.11,-0.34
PDXK,-0.08,-0.17,-0.34,-0.3,-0.24,0.05,0.41,0.02,-0.09,-0.11,0.13,-0.47,0.06,-0.29,0.51,0.23,-0.19,-0.1,-0.38
PDXP,-0.07,-0.04,0.11,-0.13,-0.67,0.25,-0.04,0.2,0,0.15,-0.21,-0.58,0.05,0.02,-0.27,-0.05,-0.01,0.03,-0.66
PDZD11,0.3,0.54,0.18,0.11,-0.42,0.37,0.33,0.26,0.25,0.2,-0.14,-0.28,0.27,-0.06,-0.01,0.22,0.32,0.31,-0.57
PDZD2,NA,NA,1.13,2.08,1,2.69,2.56,2.62,NA,NA,1.37,-0.41,2.87,NA,0.01,2.77,1.86,2.21,NA
PDZD8,0.37,0.28,0.3,0.27,-0.09,0.31,0.07,0.45,0.01,0.08,-0.17,-0.42,0.23,0.11,-0.26,0.32,0.33,0.11,-0.13
PDZK1,0.9,0.88,0.46,0.39,0.23,0.73,0.57,0.91,0.61,0.73,0.19,-1.19,0.73,0.75,-0.09,0.74,1.13,0.92,-0.95
PDZK1IP1,1.55,1.3,1.28,0.68,0.73,1.12,0.94,1.57,0.86,0.83,0.02,-1.89,1.55,1.17,0.7,1.22,1.42,1.16,-0.86
PEA15,-0.75,-0.79,-0.95,-0.37,0,-0.76,-0.43,-0.94,-0.81,-0.59,-0.4,-0.04,-0.85,-0.74,-0.34,-0.79,-0.89,-0.66,0.01
PEAK1,-0.02,-0.21,-0.03,1.19,-0.06,0.8,0.58,0.73,0.08,0.04,0.09,0.48,-0.01,-0.2,0.31,1.16,-0.04,0.62,0.37
PEBP1,0.37,0.3,0.18,0.14,-0.4,0.52,0.38,0.39,0.25,0.34,0.16,-0.53,0.34,0.1,0.18,0.41,0.33,0.4,-0.73
PEBP4,0.55,1.16,2.43,-0.21,-1.48,-0.26,0.69,2,2.11,-0.03,0.32,NA,0.84,1.63,NA,-0.71,1.29,0.41,-0.46
PECAM1,-0.62,-0.94,-0.54,-0.4,-0.18,-0.61,-0.7,-0.83,-1,-0.49,-0.71,0.01,-0.53,-0.36,-0.29,-0.59,-0.45,-0.43,0.22
PECR,0.44,0.77,0.3,0.19,-0.26,0.58,0.56,0.61,0.16,0.12,-0.03,-1.27,1.05,0.64,-0.02,0.18,0.65,0.73,-0.99
PEDS1-UBE2V1,-0.37,-0.7,-0.05,-0.43,-0.08,-0.23,-0.44,-0.14,-0.55,-0.17,-0.07,0.1,-0.28,-0.51,-0.11,-0.21,-0.69,-0.22,-0.26
PEF1,-0.06,-0.27,0.24,-0.33,0.21,0.07,0.2,-0.21,-0.02,0.1,0.11,0.24,0.26,-0.27,0.28,0.03,0.23,-0.14,-0.05
PELO,0.09,0.07,0.12,-0.18,-0.26,-0.02,0.1,-0.06,-0.05,0.05,-0.06,0.19,0.09,0.05,0.15,-0.05,-0.32,-0.1,0.19
PELP1,-0.12,-0.04,-0.03,-0.06,0.16,-0.19,-0.11,-0.34,-0.14,-0.23,-0.15,0.17,-0.19,-0.03,-0.07,-0.05,-0.11,-0.16,0.2
PEPD,0.77,0.88,0.92,0.71,-0.28,0.86,0.54,0.99,0.3,0.48,0.46,-0.32,0.61,0.45,-0.19,0.16,0.77,0.75,-0.67
PER1,-0.35,-0.62,NA,0.26,NA,NA,NA,0.25,-0.23,0.12,NA,NA,NA,-0.26,NA,0.29,NA,NA,-0.3
PES1,-0.3,-0.7,-0.27,-0.11,-0.06,0,-0.36,-0.21,-0.33,-0.13,-0.39,-0.05,-0.3,-0.44,-0.31,-0.12,-0.13,-0.23,-0.08
PET100,0.68,0.51,1.09,-0.14,NA,0.08,-0.38,-0.01,0.99,0.09,1.58,-0.44,1.6,-0.02,0.47,-0.04,NA,1.03,-0.93
PET117,0.98,NA,0.61,0.5,NA,0.64,0.55,1.02,0.71,0.22,0.15,0.44,0.36,NA,0.68,0.7,NA,1.01,NA
PEX1,0.52,0.54,0.33,0.43,-0.06,0.66,0.4,0.66,0.16,0.01,0.04,-0.7,0.42,0.33,-0.1,0.5,0.43,0.64,-0.42
PEX11A,0.87,0.68,1.23,0.56,0.89,NA,NA,0.88,-0.09,0.76,0.2,-0.9,0.36,0.26,0.42,0.62,1.03,NA,-0.3
